,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
28094,1.99,1.9,favori,favori,0.36165345,0.63834655
28095,2.27,1.7,favori,favori,0.26044303,0.73955697
28096,2.47,1.6,favori,favori,0.48333842,0.5166616
28097,2.76,1.5,challenger,favori,0.27451986,0.72548014
28098,3.15,1.41,challenger,favori,0.43375033,0.56624967
28099,2.09,1.83,favori,challenger,0.51945823,0.48054177
28100,3.56,1.34,favori,favori,0.25948972,0.7405103
28101,2.16,1.78,favori,favori,0.24685079,0.7531492
28102,4.1,1.28,favori,favori,0.25737023,0.74262977
28103,10.44,1.08,favori,favori,0.11001158,0.8899884
28104,4.78,1.23,favori,favori,0.30721742,0.6927826
28105,3.39,1.37,challenger,favori,0.2405591,0.7594409
28106,3.11,1.42,favori,favori,0.3197235,0.6802765
28107,3.64,1.33,favori,favori,0.26606816,0.73393184
28108,3.22,1.4,challenger,favori,0.27399367,0.7260063
28109,3.74,1.32,favori,favori,0.35426778,0.6457322
28110,3.97,1.29,challenger,favori,0.26084447,0.73915553
28111,3.8,1.32,favori,favori,0.17237341,0.8276266
28112,4.35,1.27,favori,favori,0.2885762,0.7114238
